uid;project;month;email_count;word_count;openness;agreeableness;neuroticism;extraversion;conscientiousness;continent
-3225;calcite;2017-11;;206;-8.2675;4.2963;5.110899999999999;-0.013799999999999979;-4.098;
-3225;calcite;2017-12;;103;-8.0293;6.505299999999999;2.3803;1.7576;-1.6016;
-3224;calcite;2016-03;;346;-7.2665999999999995;4.1948;4.325;0.06839999999999985;-4.2528;
-3224;calcite;2016-09;;156;-10.402;6.9603;2.9931;1.3649;-2.1898;
-3224;calcite;2017-02;;2;0.0;0.0;0.11;0.0;0.0;
-3224;calcite;2017-06;;56;-12.303800000000003;4.857900000000001;8.5937;-1.4642999999999997;-7.627700000000001;
-3223;calcite;2016-10;;42;-7.7121;4.2126;4.9903;-0.595;-4.2375;
-3223;calcite;2017-02;;65;-9.217900000000002;6.6008;2.742;1.7383000000000002;-1.5697;
-3223;calcite;2017-12;;31;1.8059000000000003;0.3225;1.8848999999999998;-0.5805;-4.6462;
-3222;calcite;2014-11;;242;-4.2906;2.866;3.9655000000000005;-0.2862;-3.9619999999999997;
-3222;calcite;2015-01;;140;-5.7066;4.4198;2.8669;0.007199999999999873;-2.7354;
-3222;calcite;2015-02;;226;-5.2547999999999995;4.2293;2.9877000000000002;-0.5403;-2.5184;
-3222;calcite;2015-03;;238;-4.7007;3.7128000000000005;3.4503;-0.27719999999999995;-4.0247;
-3222;calcite;2015-04;;41;-11.173099999999996;8.4634;0.8916999999999998;1.6094000000000004;-0.04879999999999973;
-3222;calcite;2015-05;;54;-6.5896;7.0175;2.8865000000000003;2.5934999999999997;-2.9806999999999997;
-3222;calcite;2015-06;;49;-8.7712;6.9564;2.4981;-0.12239999999999995;-1.8778999999999997;
-3222;calcite;2015-07;;519;-4.3576999999999995;3.9059;3.8538000000000006;0.2074;-4.3491;
-3222;calcite;2015-08;;397;-4.181;3.724;2.9923;-0.6796;-3.482;
-3222;calcite;2015-09;;314;-6.417399999999999;4.3876;3.3038;0.20680000000000004;-3.4764;
-3222;calcite;2015-10;;189;-6.1519;5.8961;2.5449;0.7525;-2.8586;
-3222;calcite;2015-11;;256;-7.436100000000001;5.188399999999998;3.1161000000000003;-0.0037999999999999146;-3.4353999999999996;
-3222;calcite;2015-12;;15;-6.9369999999999985;6.134;-0.022299999999999764;5.7347;-1.8009;
-3222;calcite;2016-01;;340;-6.6019;4.327400000000001;3.4676;0.2508999999999999;-3.9139000000000004;
-3222;calcite;2016-04;;25;-9.079999999999998;5.84;1.4700000000000002;2.08;-2.76;
-3222;calcite;2016-05;;276;-6.8267;3.5833999999999997;4.4494;0.12580000000000005;-4.5139;
-3222;calcite;2016-06;;61;-4.936399999999999;3.5413;2.1108000000000002;-1.2124;-3.0504000000000002;
-3222;calcite;2016-07;;109;-8.4266;5.686299999999999;4.2555000000000005;-0.17560000000000003;-3.2841000000000005;
-3222;calcite;2017-03;;58;-6.9642;4.7759;1.7975000000000003;0.31099999999999994;-3.1534;
-3221;calcite;2014-10;;4048;-6.755700000000001;4.9799999999999995;2.6367000000000003;0.9920000000000001;-3.1396;
-3221;calcite;2014-11;;5422;-6.663699999999999;4.829999999999999;2.9306;0.7132;-3.3034000000000003;
-3221;calcite;2014-12;;3236;-5.8980999999999995;4.552;2.8079;0.8704000000000001;-3.3239;
-3221;calcite;2015-01;;5409;-5.9929;4.607600000000001;2.7073000000000005;0.40500000000000014;-3.0946;
-3221;calcite;2015-02;;5828;-6.805400000000001;4.796000000000001;3.4639;0.9021000000000001;-3.7125000000000004;
-3221;calcite;2015-03;;5287;-7.0413;4.814599999999999;2.8954999999999997;0.9474;-3.364;
-3221;calcite;2015-04;;2579;-7.066300000000001;5.4202;2.3916000000000004;0.8502999999999998;-2.5957000000000003;
-3221;calcite;2015-05;;3132;-5.833099999999999;4.635000000000001;2.6578;0.5165;-3.3104000000000005;
-3221;calcite;2015-06;;3261;-6.8149999999999995;4.8284;3.2122;0.7534999999999997;-3.5873;
-3221;calcite;2015-07;;4565;-7.169;4.8907;3.2763000000000004;0.5888000000000002;-3.5403;
-3221;calcite;2015-08;;2096;-6.754599999999998;4.8577;2.9975000000000005;0.7230000000000001;-3.2801;
-3221;calcite;2015-09;;3568;-5.409399999999999;4.7023;2.2305;0.6961999999999999;-2.687;
-3221;calcite;2015-10;;3006;-7.753399999999999;5.649600000000002;3.1334999999999997;1.1159;-3.4235999999999995;
-3221;calcite;2015-11;;6406;-6.734200000000001;4.6824;2.8992;1.0175;-3.4104;
-3221;calcite;2015-12;;4098;-6.693499999999999;4.740600000000001;2.7746000000000004;1.0287000000000002;-3.2173999999999996;
-3221;calcite;2016-01;;6471;-6.6560999999999995;4.9974;2.7805999999999997;1.0917000000000001;-3.2407999999999997;
-3221;calcite;2016-02;;5548;-6.9285000000000005;4.6728;3.4317;0.9931000000000001;-3.7732999999999994;
-3221;calcite;2016-03;;5685;-6.6828;4.8633999999999995;2.8083;0.9309000000000001;-3.2253000000000003;
-3221;calcite;2016-04;;1447;-6.587999999999999;5.087900000000001;2.7456;1.1152;-3.0662999999999996;
-3221;calcite;2016-05;;5029;-6.369899999999999;4.354900000000001;3.0865;0.8976999999999999;-3.6618;
-3221;calcite;2016-06;;3887;-5.7551;4.408199999999999;2.5066999999999995;0.762;-2.962799999999999;
-3221;calcite;2016-07;;1906;-6.4011999999999984;4.5582;2.4424;1.0404999999999998;-2.9334999999999996;
-3221;calcite;2016-08;;1284;-7.404800000000001;4.6606000000000005;3.0877;0.9921000000000002;-3.4345;
-3221;calcite;2016-09;;4629;-6.992999999999999;4.723999999999999;3.113;1.084;-3.6020999999999996;
-3221;calcite;2016-10;;4704;-6.059900000000001;4.642799999999999;2.5204000000000004;0.7432000000000001;-2.8333000000000004;
-3221;calcite;2016-11;;4106;-6.4465;4.143399999999999;3.0829999999999997;1.0169;-3.8438;
-3221;calcite;2016-12;;2455;-6.918500000000001;4.276300000000001;3.0216000000000003;0.9400000000000002;-3.7035000000000005;
-3221;calcite;2017-01;;2761;-6.1991;4.4799999999999995;2.4813;0.9089;-3.1237000000000004;
-3221;calcite;2017-02;;3213;-6.6503999999999985;4.9405;2.931;1.0137;-3.2956000000000003;
-3221;calcite;2017-03;;3705;-5.9816;4.535200000000001;2.5008000000000004;0.7684;-2.9071000000000002;
-3221;calcite;2017-04;;2291;-7.472799999999999;5.3519;2.8968000000000003;1.5414999999999999;-3.4301;
-3221;calcite;2017-05;;4562;-6.6631;4.6619;2.7049;0.8572000000000001;-3.2148000000000003;
-3221;calcite;2017-06;;3531;-7.1464;5.1413;2.9513;1.2223999999999997;-3.5343;
-3221;calcite;2017-07;;3387;-7.024099999999999;4.6051;3.0497000000000005;1.2446;-3.6879;
-3221;calcite;2017-08;;3750;-7.160699999999999;4.852500000000001;2.7685;1.2294999999999998;-3.3920000000000003;
-3221;calcite;2017-09;;3043;-7.3256;4.6604;3.4462;0.8707;-3.6103;
-3221;calcite;2017-10;;2592;-6.990200000000001;4.5723;2.8714000000000004;1.1231;-3.3114;
-3221;calcite;2017-11;;4618;-7.207399999999998;4.869399999999999;3.0268;1.0104;-3.3384;
-3221;calcite;2017-12;;2187;-6.529299999999998;4.833900000000001;2.5863;1.0068;-2.8552;
-3221;parquet;2017-02;;291;-5.501899999999999;4.4207;2.4046;0.4859999999999999;-3.3233999999999995;
-3221;parquet;2017-12;;122;-9.8145;5.5432;5.4633;1.2955999999999999;-5.8454999999999995;
-3221;phoenix;2015-04;;23;-5.7416;5.914899999999999;1.415;0.609;-1.7834999999999999;
-3221;phoenix;2017-06;;149;-5.0032000000000005;4.1931;3.9882;0.9126999999999998;-4.6567;
-3221;phoenix;2017-07;;104;-10.5941;6.681199999999999;2.3304;2.8087999999999997;-3.4142;
-3221;samza;2015-01;;2447;-5.488299999999999;4.237100000000001;2.9349;0.8031999999999999;-3.6663000000000006;
-3221;samza;2015-02;;1308;-5.769;4.2926;2.9002000000000003;0.45350000000000007;-3.4596999999999998;
-3221;samza;2015-03;;1659;-6.79;5.349800000000001;3.2948;0.35850000000000004;-3.2565000000000004;
-3221;samza;2015-04;;1366;-7.0286;4.4045;2.4541000000000004;1.1411;-2.8403;
-3221;samza;2015-05;;189;-5.4872000000000005;4.9886;1.7046999999999999;-0.0956999999999999;-1.9332;
-3221;samza;2015-06;;672;-5.4636000000000005;4.4375;2.7682000000000007;0.6117999999999999;-3.3552000000000004;
