uid;project;month;email_count;word_count;openness;agreeableness;neuroticism;extraversion;conscientiousness;continent;openness_percentile;agreeableness_percentile;neuroticism_percentile;extraversion_percentile;conscientiousness_percentile
-3225;calcite;2017-11;4;269;0.7904325085418905;0.6554169796019749;0.43057341242341407;0.48107731635816076;0.5631669132380717;;0.904672120432715;0.014520451491027708;0.2569831839518851;0.058547697031516965;0.08209104426331121
-3225;calcite;2017-12;2;124;0.8147237789508249;0.677154329697088;0.3608573773639558;0.533470404544324;0.5582791317901948;;0.980749666303554;0.050904936919100585;0.029419548033980503;0.3471707118382171;0.06733476607705807
-3224;calcite;2016-03;2;368;0.7977801927788426;0.6706284237939406;0.435534927851681;0.446488910632821;0.576729952688655;;0.9380713882621647;0.03590688548641752;0.28615254820108754;0.009585280501666238;0.13559080517778632
-3224;calcite;2016-09;4;145;0.8247514500074231;0.7882483198420758;0.46982775671161947;0.553977948028539;0.6738385511035865;;0.9914271283130696;0.8766403690409557;0.5174177647028345;0.5265488001524817;0.836877342015522
-3222;calcite;2014-11;2;239;0.8129281899036216;0.6354361107966474;0.5251034143265029;0.49677378549721307;0.5839824154067427;;0.9779554877997416;0.00362067256476728;0.8471366434137519;0.11212017780597983;0.1723678383273276
-3222;calcite;2015-01;2;135;0.7952714825112064;0.6529353046621973;0.49036244945524027;0.4726560510952057;0.5801856196543173;;0.9278833079491957;0.012372651514608257;0.6583435403570392;0.03956124690705076;0.15238581481416852
-3222;calcite;2015-02;3;224;0.8145445477087977;0.6089873333187285;0.4776261444260146;0.5062413631211972;0.6192070837021936;;0.9804849987814104;0.00040283666184615097;0.5722134781181607;0.15789078253371047;0.42480444390874944
-3222;calcite;2015-03;2;233;0.8494155147776888;0.6074032238173557;0.4631452309887134;0.4233982477556907;0.5998164518889386;;0.9992004929515453;0.00034859022402811135;0.4701590133329528;0.0021205308702938463;0.27246957946987826
-3222;calcite;2015-07;6;522;0.8422776339649307;0.6255004298100291;0.543355460057533;0.4973923850136359;0.6335885250217927;;0.9983188639700646;0.0016652562847745966;0.9111724044276422;0.11478502714835254;0.5472541102394566
-3222;calcite;2015-08;9;392;0.8155855083811755;0.6175065835278523;0.5051965269443471;0.45756275744968977;0.6125093322404062;;0.9819799640380912;0.0008547643923129122;0.7489196584128105;0.018128374503178002;0.3694840491127823
-3222;calcite;2015-09;4;307;0.8070642982184535;0.6366238154317233;0.5086919326683105;0.458367981532439;0.626694877565771;;0.9663433702253142;0.0039576613525231785;0.7682513688279755;0.018947370353664394;0.4884020093125551
-3222;calcite;2015-10;4;183;0.803560766089521;0.7095867811620424;0.5558583941474242;0.5150907838418164;0.6715148084908278;;0.9572692635898346;0.20601547531089726;0.9417696735885827;0.21045263558984473;0.8243014312906446
-3222;calcite;2015-11;6;233;0.8070707099080163;0.6861950650005799;0.4879208088499627;0.5032795559497685;0.5929783236622563;;0.966358394009398;0.07945777748415273;0.6423074398591849;0.14241376839571507;0.22603352145130262
-3222;calcite;2016-01;7;334;0.8170728901693667;0.6254470034346923;0.5130490618069282;0.4889498376174049;0.5885384621077223;;0.9839459513350953;0.0016580571875211558;0.7911428529590281;0.0821639892497989;0.1984513093769767
