uid;project;month;email_count;word_count;openness;agreeableness;neuroticism;extraversion;conscientiousness
-3225;calcite;2017-11;4;276;-0.06996379359999999;0.0374999832;0.1410507767;-0.0026811575000000006;-0.022826133399999997
-3225;calcite;2017-12;2;128;-0.058046875;0.046796874999999995;0.119609375;0.00203125;-0.006796875
-3224;calcite;2016-03;2;547;-0.0488847722;0.0302193927;0.1423217419;-0.012943329999999998;-0.031480787
-3224;calcite;2016-09;4;157;-0.08407644809999998;0.052738868900000006;0.12433118600000001;0.0054777217;-0.008343935000000004
-3224;calcite;2017-02;3;6;0.0;0.0;0.11;0.0;0.0
-3224;calcite;2017-06;1;167;-0.0558083466;0.0346706554;0.1369461008;-0.023053907199999998;-0.018443116400000004
-3223;calcite;2016-10;1;42;-0.06714293099999999;0.0359524;0.134523839;-0.005952384;-0.019523831000000005
-3223;calcite;2017-02;1;80;-0.07262500000000001;0.054875000000000014;0.11837500000000001;0.0031249999999999997;-0.003875000000000001
-3223;calcite;2017-03;1;11;-0.029090912000000003;0.064545428;0.10181818100000001;-0.039999968;0.008181819
-3223;calcite;2017-12;1;60;-0.013833326999999994;0.019166673000000002;0.11666663099999999;-0.008333329;-0.023999970000000002
-3222;calcite;2014-11;2;326;-0.0429447546;0.0294478527;0.1389877004;-0.009355847399999999;-0.02981593359999999
-3222;calcite;2015-01;2;228;-0.051096493199999996;0.0372806937;0.1305701987;-0.011710527399999998;-0.0228508954
-3222;calcite;2015-02;3;277;-0.05231040299999999;0.04548736329999999;0.1277978157;-0.0112996411;-0.014512619000000001
-3222;calcite;2015-03;2;303;-0.0404290456;0.034653461999999996;0.131155099;-0.0157095747;-0.0233993251
-3222;calcite;2015-04;1;81;-0.061111021;0.054938255;0.11049383;-0.0032098630000000003;0.006790123
-3222;calcite;2015-05;2;113;-0.030973465599999996;0.052123914199999996;0.1135398178;-0.0144248;-0.0089380478
-3222;calcite;2015-06;1;49;-0.075510339;0.06122452800000001;0.126734719;-0.007755104999999997;-0.016122474999999997
-3222;calcite;2015-07;6;669;-0.0389238994;0.0399701086;0.128819199;-0.00379673;-0.0252616512
-3222;calcite;2015-08;9;667;-0.033223364;0.038140952;0.12061472300000001;-0.009055474999999999;-0.016131950500000002
-3222;calcite;2015-09;4;425;-0.054588307399999994;0.03983528060000001;0.13117650860000002;-0.005788230400000003;-0.026894141600000004
-3222;calcite;2015-10;4;254;-0.0491339137;0.052283451599999996;0.1189370151;-0.004015746000000001;-0.0116535493
-3222;calcite;2015-11;6;333;-0.061351363500000006;0.049759761799999996;0.12555553060000002;-0.0091591593;-0.0182882627
-3222;calcite;2015-12;1;30;-0.033666605;0.053666619;0.095000004;0.013999943999999999;0.0
-3222;calcite;2016-01;7;472;-0.0625001064;0.042627107299999994;0.1361441193;-0.003813564899999999;-0.027288174499999998
-3222;calcite;2016-04;1;42;-0.073571411;0.061904764999999994;0.111190468;0.004285713000000002;-0.014285711
-3222;calcite;2016-05;5;481;-0.036611239500000003;0.027754677300000002;0.1296673326;-0.0053638190000000014;-0.021954241800000003
-3222;calcite;2016-06;1;61;-0.05655738700000001;0.042131180000000004;0.126393494;-0.008852496999999999;-0.024918087999999994
-3222;calcite;2016-07;2;156;-0.0704486442;0.05038460039999999;0.12846152;-0.007307713399999999;-0.015512793999999998
-3222;calcite;2017-03;2;70;-0.071428519;0.053714282999999995;0.117142843;-0.0035714219999999973;-0.018714278000000004
-3222;calcite;2017-06;1;13;-0.020000017999999994;0.066923032;0.09615386000000001;-0.033846128;0.0069230789999999995
-3221;calcite;2014-10;27;4333;-0.06302095565;0.04409186817000001;0.1250957687;0.005111928689999998;-0.021068537350000003
-3221;calcite;2014-11;53;5929;-0.059006494559999983;0.03984146886999999;0.12746834261;0.0007960959799999985;-0.022187526890000003
-3221;calcite;2014-12;35;3564;-0.052746930649999996;0.03956230675;0.12545172814;0.0029854134800000012;-0.021714352350000007
-3221;calcite;2015-01;57;6372;-0.052515642390000006;0.03807595713999999;0.12502189811;-0.0005429955899999996;-0.0189280704
