uid;project;month;email_count;word_count;openness;agreeableness;neuroticism;extraversion;conscientiousness;continent
-3225;calcite;2017-11;;206;-7.946;3.7381;4.3187999999999995;-0.45189999999999997;-3.0741000000000005;
-3225;calcite;2017-12;;103;-6.3404;4.679899999999999;1.2454;0.5054000000000001;-0.6412999999999999;
-3224;calcite;2016-03;;346;-6.458;3.4787000000000003;3.5298000000000003;-0.44540000000000013;-3.3419999999999996;
-3224;calcite;2016-09;;156;-8.460799999999997;5.3073;1.5517999999999998;0.5511999999999998;-0.8383;
-3224;calcite;2017-02;;2;0.0;0.0;0.11;0.0;0.0;
-3224;calcite;2017-06;;56;-12.429100000000004;4.857900000000001;6.932;-1.3040999999999998;-5.3936;
-3223;calcite;2016-10;;42;-6.7116;3.5938;2.5614;-0.595;-1.9515999999999998;
-3223;calcite;2017-02;;65;-8.680000000000001;5.5708;1.4484;1.0308000000000002;-0.47630000000000006;
-3223;calcite;2017-12;;31;1.3537;1.0977000000000001;0.6584999999999999;0.38849999999999996;-3.0974000000000004;
-3222;calcite;2014-11;;241;-4.126899999999999;2.6543;3.1862000000000004;-0.6653;-3.6442;
-3222;calcite;2015-01;;140;-6.1209;4.121;2.5595999999999997;-0.48700000000000004;-2.4213000000000005;
-3222;calcite;2015-02;;226;-5.000699999999999;4.0253;1.9796;-0.8469;-1.6159;
-3222;calcite;2015-03;;238;-4.2932999999999995;2.9189999999999996;2.7278999999999995;-0.8988;-3.0545000000000004;
-3222;calcite;2015-04;;41;-8.394199999999996;6.537599999999999;-0.059900000000000064;0.4636000000000001;0.7564000000000002;
-3222;calcite;2015-05;;54;-5.2752;5.278300000000001;0.6828;1.4270999999999998;-1.2590999999999999;
-3222;calcite;2015-06;;49;-7.219899999999999;6.12;1.7828;-0.7751999999999999;-1.6115999999999997;
-3222;calcite;2015-07;;519;-4.6046;3.8228999999999997;2.7268000000000003;0.04199999999999998;-3.2596000000000003;
-3222;calcite;2015-08;;397;-4.0218;3.6053999999999995;2.0948;-0.8481;-2.5162;
-3222;calcite;2015-09;;314;-6.845899999999999;4.3448;2.4763;0.05819999999999996;-2.7634000000000003;
-3222;calcite;2015-10;;189;-4.6423000000000005;4.7726999999999995;1.0101;-0.12109999999999989;-1.3916;
-3222;calcite;2015-11;;256;-7.305399999999999;4.812199999999998;2.4518000000000004;-0.45710000000000006;-2.5528999999999997;
-3222;calcite;2015-12;;15;-7.403899999999998;6.801;-1.5563999999999998;5.7347;0.0;
-3222;calcite;2016-01;;340;-6.5338;4.316300000000001;2.8438999999999997;0.26549999999999996;-3.1134999999999993;
-3222;calcite;2016-04;;25;-8.959999999999999;5.960000000000001;1.1099999999999999;1.48;-2.76;
-3222;calcite;2016-05;;276;-6.687399999999999;3.4495;3.4314;-0.1573000000000001;-3.6567;
-3222;calcite;2016-06;;61;-5.6571;4.213699999999999;1.7487;-0.8843999999999999;-2.4917;
-3222;calcite;2016-07;;109;-8.4275;5.281700000000001;2.9615;-0.8094999999999999;-2.1092000000000004;
-3222;calcite;2017-03;;58;-7.652400000000001;4.7574;1.2805000000000002;0.06880000000000003;-2.4136;
-3221;calcite;2014-10;;4048;-6.516299999999998;4.4899000000000004;1.7015000000000005;0.6033;-2.2368;
-3221;calcite;2014-11;;5422;-6.150399999999998;4.0356;1.9685000000000001;0.1876999999999998;-2.3484000000000003;
-3221;calcite;2014-12;;3236;-5.578899999999998;4.0067;1.806;0.4293;-2.3352999999999997;
-3221;calcite;2015-01;;5409;-5.801100000000002;4.183;1.8658000000000003;0.035000000000000114;-2.2003;
-3221;calcite;2015-02;;5826;-6.037399999999999;3.8999999999999995;2.4562;0.3199000000000001;-2.6749;
-3221;calcite;2015-03;;5286;-6.6503999999999985;4.164300000000001;1.9744000000000002;0.5069;-2.4707;
-3221;calcite;2015-04;;2579;-6.6621000000000015;4.7164;1.5303999999999998;0.4005999999999999;-1.7422;
-3221;calcite;2015-05;;3132;-5.8083;4.357199999999999;1.7831000000000001;0.25730000000000003;-2.503;
-3221;calcite;2015-06;;3261;-6.307400000000001;4.198300000000001;2.1661;0.289;-2.5636;
